label,B10,B11,B1,B2,B3,B4,B5,B6,B7,B9
1.0,21820.0,20586.0,8218.0,7521.0,6609.0,5864.0,5447.0,5120.0,5068.0,5034.0
1.0,21855.0,20616.0,8214.0,7521.0,6603.0,5872.0,5450.0,5139.0,5084.0,5014.0
1.0,21926.0,20690.0,8207.0,7515.0,6604.0,5878.0,5460.0,5149.0,5082.0,4987.0
1.0,22087.0,20835.0,8208.0,7515.0,6614.0,5880.0,5461.0,5164.0,5102.0,5031.0
1.0,22247.0,20917.0,8206.0,7535.0,6609.0,5888.0,5480.0,5178.0,5103.0,5018.0
1.0,22014.0,20727.0,8224.0,7526.0,6617.0,5889.0,5475.0,5161.0,5092.0,5035.0
1.0,21880.0,20635.0,8233.0,7529.0,6617.0,5889.0,5474.0,5157.0,5088.0,5027.0
1.0,21808.0,20618.0,8235.0,7537.0,6625.0,5902.0,5492.0,5159.0,5093.0,5022.0
1.0,21778.0,20623.0,8242.0,7542.0,6628.0,5898.0,5497.0,5165.0,5101.0,5037.0
1.0,21764.0,20605.0,8245.0,7544.0,6615.0,5886.0,5486.0,5150.0,5099.0,5035.0
1.0,21757.0,20589.0,8232.0,7533.0,6616.0,5879.0,5483.0,5137.0,5088.0,5036.0
1.0,21766.0,20578.0,8234.0,7527.0,6606.0,5877.0,5464.0,5139.0,5077.0,5032.0
1.0,21785.0,20570.0,8220.0,7523.0,6598.0,5872.0,5458.0,5137.0,5074.0,5043.0
1.0,21806.0,20570.0,8222.0,7515.0,6594.0,5880.0,5461.0,5137.0,5071.0,5031.0
1.0,21829.0,20578.0,8223.0,7522.0,6601.0,5886.0,5453.0,5134.0,5069.0,5033.0
1.0,21856.0,20595.0,8199.0,7510.0,6598.0,5882.0,5438.0,5141.0,5083.0,5030.0
1.0,21903.0,20640.0,8216.0,7520.0,6590.0,5871.0,5454.0,5140.0,5086.0,5023.0
1.0,22025.0,20754.0,8204.0,7530.0,6597.0,5869.0,5473.0,5149.0,5088.0,5018.0
1.0,22136.0,20841.0,8229.0,7535.0,6605.0,5880.0,5481.0,5170.0,5099.0,5037.0
1.0,21951.0,20698.0,8234.0,7518.0,6612.0,5882.0,5465.0,5160.0,5091.0,5033.0
